amenaza,control,nombre_control,aplica,madurez_actual,controles_de_la_amenaza,RELEVANCIA
A.10,A.8.24,"Uso de criptografía",Aplica,3,3,
A.10,A.8.26,"Requisitos de seguridad de las aplicaciones",Aplica,3,3,
A.10,A.8.29,"Pruebas de seguridad en desarrollo y aceptación",Aplica,3,3,
A.11,A.5.15,"Control de acceso",Aplica,4,7,
A.11,A.5.23,"Seguridad de la información para el uso de servicios en la nube",Aplica,3,7,
A.11,A.5.24,"Planificación y preparación de la gestión de incidentes",Aplica,4,7,
A.11,A.8.2,"Derechos de acceso privilegiado",Aplica,3,7,
A.11,A.8.20,"Seguridad de las redes",Aplica,4,7,
A.11,A.8.3,"Restricción del acceso a la información",Aplica,4,7,
A.11,A.8.5,"Autenticación segura",Aplica,4,7,
A.12,A.8.20,"Seguridad de las redes",Aplica,4,3,
A.12,A.8.22,"Segregación de redes",Aplica,4,3,
A.12,A.8.24,"Uso de criptografía",Aplica,3,3,
A.13,A.5.28,"Recolección de evidencia",Aplica,3,5,
A.13,A.5.31,"Requisitos legales, estatutarios, reglamentarios y contractuales",Aplica,3,5,
A.13,A.8.15,"Registro de eventos (logging)",Aplica,4,5,
A.13,A.8.17,"Sincronización de relojes",Aplica,3,5,
A.13,A.8.24,"Uso de criptografía",Aplica,3,5,
A.14,A.6.7,"Trabajo remoto",Aplica,4,4,
A.14,A.8.20,"Seguridad de las redes",Aplica,4,4,
A.14,A.8.21,"Seguridad de los servicios de red",Aplica,3,4,
A.14,A.8.24,"Uso de criptografía",Aplica,3,4,
A.15,A.5.33,"Protección de registros",Aplica,3,4,
A.15,A.8.15,"Registro de eventos (logging)",Aplica,4,4,
A.15,A.8.24,"Uso de criptografía",Aplica,3,4,
A.15,A.8.3,"Restricción del acceso a la información",Aplica,4,4,
A.18,A.5.26,"Respuesta a incidentes de seguridad de la información",Aplica,4,4,
A.18,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,4,
A.18,A.8.13,"Respaldo de la información",Aplica,4,4,
A.18,A.8.3,"Restricción del acceso a la información",Aplica,4,4,
A.19,A.5.13,"Etiquetado de la información",Aplica,4,7,
A.19,A.5.31,"Requisitos legales, estatutarios, reglamentarios y contractuales",Aplica,3,7,
A.19,A.5.32,"Derechos de propiedad intelectual",Aplica,3,7,
A.19,A.5.34,"Privacidad y protección de datos personales (PII)",Aplica,3,7,
A.19,A.6.6,"Acuerdos de confidencialidad o no divulgación",Aplica,4,7,
A.19,A.8.12,"Prevención de fuga de datos (DLP)",Aplica,3,7,
A.19,A.8.24,"Uso de criptografía",Aplica,3,7,
A.22,A.5.21,"Gestión de la seguridad en la cadena de suministro TIC",Aplica,3,7,
A.22,A.8.25,"Ciclo de vida de desarrollo seguro",Aplica,4,7,
A.22,A.8.27,"Arquitectura de sistemas seguros y principios de ingeniería",Aplica,3,7,
A.22,A.8.28,"Codificación segura",Aplica,4,7,
A.22,A.8.30,"Desarrollo contratado externamente",Aplica,2,7,
A.22,A.8.31,"Separación de entornos de desarrollo, prueba y producción",Aplica,4,7,
A.22,A.8.4,"Acceso al código fuente",Aplica,4,7,
A.23,A.7.2,"Controles de entrada física",No aplica,,4,
A.23,A.7.8,"Ubicación y protección de los equipos",Aplica,2,4,
A.23,A.7.9,"Seguridad de los activos fuera de las instalaciones",Aplica,3,4,
A.23,A.8.1,"Dispositivos de punto final del usuario",Aplica,4,4,
